Tablelands Buttery Spread 1kg, $0.50 / 100G
Tamar Valley Dairy Yoghurt Strawberry & Cream 170g, $1.71 / 100G
Macro Satay Tofu 200g, $22.50 / 1KG
A2 Milk Full Cream 3l, $3.30 / 1L
Nevana Pizza Base 12 Pack, $0.79 / 100G
Dairy Farmers Light Milk 2l, $2.35 / 1L
Devondale Extra Soft Butter Blend 750g, $1.33 / 100G
Chobani Greek Yogurt Lemon 160g, $1.69 / 100G
Macro Honey Soy Tofu 200g, $22.50 / 1KG
Meadowlea Original Spread 500g, $1.00 / 100G
Pauls Zymil Skim UHT Milk 1L, $3.00 / 1L
Hillview Mozzarella Shredded Cheese 700g, $14.29 / 1KG
Bega Tasty Cheese Block 250g, $30.00 / 1KG
Woolworths Baby Leaf With Beetroot & Carrot 180g, $22.22 / 1KG
Lurpak Butter Spreadable Slightly Salted 250g, $2.20 / 100G
