Woolworths Soy Milk 1l, $2.00 / 1L
Hillview Cheese Block 1kg, $9.90 / 1KG
Woolworths Yoghurt Pouch Blueberry 70g, $1.14 / 100G
Woolworths Natural Greek Style Yoghurt 1kg, $0.42 / 100G
Woolworths Light Sour Cream 300ml, $1.13 / 100ML
Vaalia Kids Probiotic Yoghurt Pouch Vanilla 140g, $1.71 / 100G
Woolworths Greek Style Fetta 200g, $17.50 / 1KG
YoPRO Danone High Protein Yoghurt No Added Sugar Vanilla 160g, $1.88 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Strawberry 140g, $1.71 / 100G
A2 Milk Full Cream Milk 2l, $3.45 / 1L
Global Bakehouse Value Garlic Bread 225g x 2 pack, $0.53 / 100G
Woolworths Unsweetened Almond Milk 1l, $2.00 / 1L
Dairy Farmers Full Cream Milk 2l, $2.15 / 1L
Essentials Salted Butter 250g, $1.60 / 100G
Essentials Unsalted Butter 250g, $1.60 / 100G
