Cocobella Protein Yoghurt Strawberry 160g, $1.81 / 100G
South Cape Crumbled Fetta 200g, $40.00 / 1KG
Hedy's Fresh Quiche Spinach & Feta Chilled Meal 1.1kg, $1.18 / 100G
Bega Cheese So Light Grated 500g, $21.00 / 1KG
Leggo's Fresh Roasted Pumpkin & Feta Ravioli 630g, $1.75 / 100G
Bega Vintage Cheese & Crackers Strong & Bitey 38g, $78.95 / 1KG
Bega Farmers' Tasty Cheese & Crackers 38g, $78.95 / 1KG
Flora Margarine Spread Original 500g, $1.05 / 100G
South Cape Apricot & Almond Cream Cheese 200g, $32.50 / 1KG
Devondale Dairy Soft Salt Reduced Butter Blend 500g, $1.50 / 100G
Latina Fresh Beef Ravioli Pasta 375g, $2.13 / 100G
Ultimate Danone Double Cream Yoghurt Mango 115g x 4 Pack, $1.25 / 100G
Babushka's Powerful Probiotic Kefir Organic Natural Yoghurt 750g, $0.92 / 100G
Chobani No Sugar Added Greek Yogurt Mango Passion Fruit 150g, $1.80 / 100G
Dairy Farmers Classic Chocolate Milk 500ml, $7.20 / 1L
Latina Fresh Ricotta & Spinach Agnolotti Pasta 625g, $1.76 / 100G
