Woolworths Semi Dried Tomatoes In Mediterranean Herbs 135g, $2.59 / 100G
Woolworths Colossal Sicilian Olives 120g, $2.92 / 100G
Woolworths Roasted Capsicum Strips 130g, $2.69 / 100G
Don Salami Pepperoni 200g, $44.50 / 1KG
San Marino Prosciutto 100g, $75.00 / 1KG
Tasmanian Heritage Double Brie Cheese 200g, $59.75 / 1KG
San Marino Spanish Serrano 100g, $75.00 / 1KG
San Marino Danish Salami 100g, $75.00 / 1KG
Grand Italian Tuscans Finest Veal Tortellini 325g, $2.15 / 100G
Fast Fuel Meals Chicken Laksa 350g, $1.43 / 100G
Woolworths Baby Peppers With Cream Cheese & Fetta 280g, $24.64 / 1KG
Woolworths Spaghetti Bolognese Bolognese Chilled Meal 1.1kg, $1.27 / 100G
Yumi's Chilli & Lime Hommus 200g, $2.25 / 100G
Zanetti Firm Parmesan Cheese Grana Padano 200g, $55.00 / 1KG
Salad Servers Turmeric Couscous With Cauliflower & Cranberry 600g, $1.75 / 100G
D'Orsogna Tasty Stick Mild 400g, $31.25 / 1KG
Tasmanian Heritage Vintage Smoked Club Cheddar Cheese 140g, $58.21 / 1KG
Dari's Chunky Minestrone Soup 550g, $1.24 / 100G
Primo Salt Reduced Shortcut Rindless Bacon 200g, $34.00 / 1KG
Woolworths Chunky Vegetable Soup 300g, $1.33 / 100G
D'orsogna Middle Bacon 1kg, $22.00 / 1KG
Primo Cabanossi Bites 200g, $25.00 / 1KG
Woolworths Creamy Pasta Salad 110g, $2.73 / 100G
Frico Dutch Goat's Cheese Mild Cheese Wedge 200g, $62.50 / 1KG
