Cavendish Bananas Each, $0.76 / 1EA
Eat Later Hass Avocado Each, $2.90 / 1EA
Red Capsicum Each, $2.23 / 1EA
Green Zucchini Each, $0.78 / 1EA
Fresh Granny Smith Apples Each, $0.86 / 1EA
Tomato Roma Red Each, $0.62 / 1EA
Corn Sweet Each, $1.20 / 1EA
Lemon Fresh Each, $1.91 / 1EA
Red Seedless Watermelon Whole Each, $25.52 / 1EA
White Seedless Grapes each, $7.51 / 1EA
Woolworths Fresh Herb Coriander Bunch, $3.20 / 1EA
Strawberries 250g Punnet, $12.00 / 1KG
Eggplant Fresh Each, $2.21 / 1EA
Beetroot Loose Each, $1.95 / 1EA
Woolworths White Washed Baby Potatoes Bag 1kg, $4.30 / 1KG
Woolworths Kiwi Fruit Green Each, $2.36 / 1EA
Garlic Heads 3 Pack, $1.10 / 1EA
Gourmet Garden Paste Ginger 80g, $0.50 / 10G
Woolworths Washed & Ready To Cook Broccoli & Cauliflower Florets 150g, $13.33 / 1KG
Pumpkin Jarrahdale Grey Cut Each, $4.00 / 1EA
Gourmet Garden Coriander Lightly Dried 8g Sachet, $5.00 / 10G
Woolworths Roast Mixed Vegetables With Garlic & Rosemary 500G, $11.00 / 1KG
Swedes Fresh Each, $1.61 / 1EA
Woolworths Washed & Ready To Cook Broccoli Florets 150g, $13.33 / 1KG
Gourmet Garden Paste Garlic 80g, $0.50 / 10G
Perfection Kumato Tomato Punnet 300g, $16.33 / 1KG
Woolworths Asian Salad Bowl 230g, $23.91 / 1KG
Woolworths Beetroot & Feta Salad Kit 270g, $24.07 / 1KG
Woolworths Honey Mustard Salad Kit 285g, $19.30 / 1KG
Macro Organic Ginger Punnet 150g, $43.33 / 1KG
Macro Organic Herb Coriander Bunch Each, $4.00 / 1EA
Woolworths Sage Fresh Herb 10g Punnet, $3.20 / 10G
Macro Organic Coleslaw & Kale Slaw Kit 250g, $19.60 / 1KG
Just Veg. Carrot Sticks 150g, $13.33 / 1KG
Woolworths Kaffir Lime Leaf Fresh Herb 10g Punnet, $3.20 / 10G
Macro Fresh Lettuce Baby Cos Organic Pack Each, $5.00 / 1EA
Cabbage Savoy Half Each, $3.40 / 1EA
Woolworths Washed Potatoes Bag 2kg, $2.00 / 1KG
