Nestle KitKat Cereal 330g, $2.88 / 100G
Woolworths Cloves Ground 30g, $1.27 / 10G
Avalanche 99% Sugar Free Vanilla Chai Latte 10 Pack, $0.55 / 1EA
Mary Mack's Instant Batter Mix 150g, $0.17 / 10G
MasterFoods Honey Mustard Chicken Cooking Sauce 505g, $0.97 / 100G
Mr Chen's Soba Noodles 270g, $0.93 / 100G
Rosella Condensed Tomato Soup 390g, $0.72 / 100ML
Twinings French Earl Grey 10 Pack, $0.30 / 1EA
Cocolife Avocado Oil Spray 150ml, $5.00 / 100ML
Nature Nate's Raw & Unfiltered Honey 1kg, $1.87 / 100G
Noshu Sugar Free White Choc Baking Chips 140g, $3.43 / 100G
Queen Glucose Syrup 500g, $0.98 / 100G
