Woolworths Walnuts Californian 190g, $25.00 / 1KG
Mutti Passata Tomato Puree 400g, $0.93 / 100G
Edgell Red Kidney Beans Fibre Rich 400g, $0.55 / 100G
Dolmio Extra Bolognese Tomato Pasta Sauce 500g, $0.92 / 100G
Supreme Noodles Cup Beef Flavour 70g, $1.57 / 100G
Massel 7's Beef Cubes Gluten Free 35g, $0.29 / 10G
San Remo Bows Ties Pasta No 23 500g, $0.59 / 100G
Suimin Chicken & Prawn Noodle Cup 70g, $3.43 / 100G
Edgell Super Sweet Corn Kernels 420g, $5.95 / 1KG
Woolworths Black Sliced Olives 430g, $0.57 / 100G
Barilla Pasta Risoni 500g, $0.70 / 100G
Kellogg's Rice Bubbles Puffed Rice Breakfast Cereal 250g, $2.16 / 100G
MasterFoods Reduced Salt & Sugar Tomato Sauce 475ml, $0.80 / 100ML
Continental Classics Creamy Pasta Sauce Bacon Carbonara Family Pack 145g, $2.62 / 100G
Macro Organic Penne Pasta 500g, $0.39 / 100G
McKenzie's Bi Carb Soda 500g, $0.54 / 100G
Woolworths Crispy Rice Pops 370g, $0.84 / 100G
