Vegemite Spread 150g, $2.67 / 100G
Woolworths Whole Egg Mayonnaise 440g, $0.84 / 100G
Macro Organic Spirals Pasta 500g, $0.39 / 100G
Leggo's Pizza Sauce Double Concentrate Garlic Onion & Herbs Squeeze 400g, $1.13 / 100G
Heinz Seriously Good Mayonnaise Original Mayo 295ml, $1.86 / 100ML
Kellogg's Nutri Grain Protein Breakfast Cereal 290g, $2.41 / 100G
Woolworths Lasagne Sheets 250g, $0.80 / 100G
Devondale Skim Milk Long Life UHT Milk 1L, $2.20 / 1L
Annalisa Butter Beans 400g, $4.75 / 1KG
Mission Corn Chips Cheesy Nachos 230g, $1.96 / 100G
Campbell's Real Stock Chicken Liquid Stock 500ml, $0.55 / 100ML
Barilla Pasta Penne Rigate 500g, $0.70 / 100G
Pandaroo Coconut Milk 400ml, $4.13 / 1L
