Woolworths Cracked Black Pepper Wagyu Beef Sausages 450g, $20.00 / 1KG
Woolworths Beef Porterhouse Steak Thick Cut 300g, $53.33 / 1KG
Steggles Chicken Breast Schnitzel Gravy Flavoured 600g, $20.00 / 1KG
Macro Free Range 6 Pork Sausages 500g, $16.00 / 1KG
Woolworths Rspca Approved Chicken Necks 1kg, $5.50 / 1KG
Woolworths 8 Mini Chicken Kebabs Satay Style 375g, $24.00 / 1KG
Humpty Doo Barramundi Skin On 260g, $50.00 / 1KG
Don Short Cut Rindless Bacon Twin Pack 500g, $28.00 / 1KG
Woolworths Rspca Approved Chicken Livers 500g, $7.50 / 1KG
Woolworths COOK Slow Cooked Traditional Beef Roast With Garlic & Herb 650g, $23.08 / 1KG
Don Bacon Pan Size Rindless 200g, $33.00 / 1KG
From the Deli Beretta Italian Prosciutto Di Parma Freshly Sliced Per Kg, $70.00 / 1KG
Ocean Chef Peeled Tail Off & Deveined Raw Prawns 500g, $30.00 / 1KG
