Woolworths Beef Lasagne 2kg, $0.70 / 100G
Woolworths Beef Oyster Blade Steak 600g, $25.83 / 1KG
Woolworths Heart Smart Extra Lean Pork Mince 500g, $14.00 / 1KG
Woolworths Fresh Skin On Barramundi Fillets Per Kg, $36.00 / 1KG
Woolworths Frozen Salmon Fillets Skin On 250g, $36.00 / 1KG
Woolworths Cook Chicken Breast Steaks Sweet Soy Bbq 500g, $21.00 / 1KG
Market Value 35 Meatballs 700g, $14.29 / 1KG
Woolworths Chicken Mince 500g, $13.00 / 1KG
Woolworths Creamy Garlic Stuffed Boneless Chicken Kiev 700g, $13.57 / 1KG
Woolworths Shortcut Australian Bacon 200g, $26.00 / 1KG
Macro Grass Fed Australian Stir-Fry Beef 500g, $24.00 / 1KG
